INSTNM,STABBR,LATITUDE,LONGITUDE,ICLEVEL
Alabama A & M University,AL,34.783367999999996,-86.568502,1
University of Alabama at Birmingham,AL,33.505697,-86.799345,1
Amridge University,AL,32.362609,-86.17401,1
University of Alabama in Huntsville,AL,34.724557,-86.640449,1
Alabama State University,AL,32.364317,-86.295677,1
The University of Alabama,AL,33.211875,-87.545978,1
Central Alabama Community College,AL,32.92478,-85.945266,2
Athens State University,AL,34.806793,-86.964698,1
Auburn University at Montgomery,AL,32.36736,-86.177544,1
Auburn University,AL,32.599378,-85.488258,1
Birmingham Southern College,AL,33.513774,-86.85055200000002,1
Chattahoochee Valley Community College,AL,32.42391,-85.031485,2
Concordia College Alabama,AL,32.425647,-87.019145,1
South University-Montgomery,AL,32.34268400000001,-86.216488,1
Enterprise State Community College,AL,31.297496000000002,-85.836956,2
Coastal Alabama Community College,AL,30.851343,-87.778193,2
Faulkner University,AL,32.384181,-86.21641,1
Gadsden State Community College,AL,33.994001000000004,-85.991438,2
New Beginning College of Cosmetology,AL,34.27871,-86.196931,3
George C Wallace Community College-Dothan,AL,31.315274,-85.465836,2
George C Wallace State Community College-Hanceville,AL,34.072439,-86.781935,2
George C Wallace State Community College-Selma,AL,32.445917,-87.01329399999999,2
Herzing University-Birmingham,AL,33.468466,-86.832465,1
Huntingdon College,AL,32.35103400000001,-86.284366,1
Heritage Christian University,AL,34.856153000000006,-87.663051,1
J. F. Drake State Community and Technical College,AL,34.771858,-86.572885,2
J F Ingram State Technical College,AL,32.582312,-86.39236899999999,2
Jacksonville State University,AL,33.822938,-85.765321,1
Jefferson Davis Community College,AL,31.101253999999997,-87.08534,2
Jefferson State Community College,AL,33.652535,-86.707233,2
John C Calhoun State Community College,AL,34.645844,-86.949674,2
Judson College,AL,32.62925300000001,-87.315206,1
Lawson State Community College,AL,33.450814,-86.88884399999998,2
University of West Alabama,AL,32.588132,-88.186329,1
Lurleen B Wallace Community College,AL,31.322946999999996,-86.452262,2
Marion Military Institute,AL,32.623734000000006,-87.322041,2
Miles College,AL,33.482442,-86.908751,1
University of Mobile,AL,30.793246999999997,-88.128934,1
University of Montevallo,AL,33.10625,-86.865099,1
Northwest-Shoals Community College,AL,34.739788,-87.678089,2
University of North Alabama,AL,34.806738,-87.681361,1
Northeast Alabama Community College,AL,34.545471,-85.911664,2
Oakwood University,AL,34.756344,-86.65270500000004,1
Alabama Southern Community College,AL,31.488925,-87.326352,2
Reid State Technical College,AL,31.460265000000003,-86.96479699999998,2
Bishop State Community College,AL,30.693972,-88.05698199999998,2
Samford University,AL,33.464128,-86.791799,1
Selma University,AL,32.420387,-87.032392,1
Shelton State Community College,AL,33.120531,-87.56148,2
Snead State Community College,AL,34.201495,-86.16989699999998,2
University of South Alabama,AL,30.696033,-88.17871099999998,1
Spring Hill College,AL,30.694751,-88.138199,1
Stillman College,AL,33.200006,-87.585278,1
Talladega College,AL,33.433471999999995,-86.11270400000002,1
H Councill Trenholm State Community College,AL,32.350109,-86.343057,2
Troy University,AL,31.800672,-85.957094,1
Tuskegee University,AL,32.4309,-85.708492,1
United States Sports Academy,AL,30.639328999999996,-87.91163,1
Bevill State Community College,AL,33.836929,-87.266406,2
